sample_name,target_name,locus_id,ct_value,type
J-N1R1,HK04,LOC_Os01g16970,7.87241478776426,Test
J-N1R2,HK04,LOC_Os01g16970,6.35359867753766,Test
J-N1R3,HK04,LOC_Os01g16970,6.6302011470513,Test
J-N2R1,HK04,LOC_Os01g16970,8.11332921038698,Test
J-N2R2,HK04,LOC_Os01g16970,6.95347354980664,Test
J-N2R3,HK04,LOC_Os01g16970,7.23592328510012,Test
J-N3R1,HK04,LOC_Os01g16970,7.65570543291074,Test
J-N3R2,HK04,LOC_Os01g16970,7.42195123058863,Test
J-N3R3,HK04,LOC_Os01g16970,7.29631424379305,Test
J-N4R1,HK04,LOC_Os01g16970,7.51946784785561,Test
J-N4R2,HK04,LOC_Os01g16970,7.95361576819086,Test
J-N4R3,HK04,LOC_Os01g16970,7.32177360751199,Test
G-N1R1,HK04,LOC_Os01g16970,6.26099685987078,Test
G-N1R2,HK04,LOC_Os01g16970,5.67605072095471,Test
G-N1R3,HK04,LOC_Os01g16970,5.33313886492132,Test
G-N2R1,HK04,LOC_Os01g16970,5.99415386574611,Test
G-N2R2,HK04,LOC_Os01g16970,5.3164941620933,Test
G-N2R3,HK04,LOC_Os01g16970,6.07362146797214,Test
G-N3R1,HK04,LOC_Os01g16970,6.12527154182721,Test
G-N3R2,HK04,LOC_Os01g16970,6.18365954572688,Test
G-N3R3,HK04,LOC_Os01g16970,7.02856390721746,Test
G-N4R1,HK04,LOC_Os01g16970,7.2007579495804,Test
G-N4R2,HK04,LOC_Os01g16970,6.75724610731131,Test
G-N4R3,HK04,LOC_Os01g16970,6.27095877852247,Test
B-N1R1,HK04,LOC_Os01g16970,7.14069625888056,Test
B-N1R2,HK04,LOC_Os01g16970,6.31034074267857,Test
B-N1R3,HK04,LOC_Os01g16970,5.39144832615614,Test
B-N2R1,HK04,LOC_Os01g16970,6.42595571249311,Test
B-N2R2,HK04,LOC_Os01g16970,6.86968765226425,Test
B-N2R3,HK04,LOC_Os01g16970,5.75401001981638,Test
B-N3R1,HK04,LOC_Os01g16970,6.2780621253487,Test
B-N3R2,HK04,LOC_Os01g16970,5.93421845740602,Test
B-N3R3,HK04,LOC_Os01g16970,6.88307849109187,Test
B-N4R1,HK04,LOC_Os01g16970,8.47998933333515,Test
B-N4R2,HK04,LOC_Os01g16970,8.81164810242817,Test
B-N4R3,HK04,LOC_Os01g16970,5.68127472085252,Test
I-N1R1,HK04,LOC_Os01g16970,6.7601865504828,Test
I-N1R2,HK04,LOC_Os01g16970,6.26963911429741,Test
I-N1R3,HK04,LOC_Os01g16970,6.15141425680513,Test
I-N2R1,HK04,LOC_Os01g16970,6.37545308855294,Test
I-N2R2,HK04,LOC_Os01g16970,6.14710731689832,Test
I-N2R3,HK04,LOC_Os01g16970,6.13329610156959,Test
I-N3R1,HK04,LOC_Os01g16970,5.8822973628628,Test
I-N3R2,HK04,LOC_Os01g16970,7.82595645508128,Test
I-N3R3,HK04,LOC_Os01g16970,6.7240261542891,Test
I-N4R1,HK04,LOC_Os01g16970,7.06295808352433,Test
I-N4R2,HK04,LOC_Os01g16970,8.6063641233785,Test
I-N4R3,HK04,LOC_Os01g16970,7.02099977318817,Test
R-N1R1,HK04,LOC_Os01g16970,6.77827392894024,Test
R-N1R2,HK04,LOC_Os01g16970,6.24243864106975,Test
R-N1R3,HK04,LOC_Os01g16970,5.52849241589714,Test
R-N2R1,HK04,LOC_Os01g16970,6.46635544961132,Test
R-N2R2,HK04,LOC_Os01g16970,6.96065314191164,Test
R-N2R3,HK04,LOC_Os01g16970,6.5101019541799,Test
R-N3R1,HK04,LOC_Os01g16970,5.5238052373628,Test
R-N3R2,HK04,LOC_Os01g16970,5.95667697396718,Test
R-N3R3,HK04,LOC_Os01g16970,7.38946134736739,Test
R-N4R1,HK04,LOC_Os01g16970,6.36860866170821,Test
R-N4R2,HK04,LOC_Os01g16970,7.5290771637233,Test
R-N4R3,HK04,LOC_Os01g16970,5.78070600622195,Test
