sample_name,target_name,locus_id,ct_value,type
I-N4R1,HK04,LOC_Os01g16970,6.87564965838448,Reference
I-N4R2,HK04,LOC_Os01g16970,6.80924412019667,Reference
I-N4R3,HK04,LOC_Os01g16970,8.10394011984125,Reference
R-N1R1,HK04,LOC_Os01g16970,6.77455399323634,Reference
R-N1R2,HK04,LOC_Os01g16970,6.65745146124069,Reference
R-N1R3,HK04,LOC_Os01g16970,6.62266860036587,Reference
R-N2R1,HK04,LOC_Os01g16970,6.73962126049247,Reference
R-N2R2,HK04,LOC_Os01g16970,7.42821379813844,Reference
R-N2R3,HK04,LOC_Os01g16970,7.66733752849362,Reference
R-N3R1,HK04,LOC_Os01g16970,6.7862760067617,Reference
R-N3R2,HK04,LOC_Os01g16970,6.37589375512173,Reference
R-N3R3,HK04,LOC_Os01g16970,8.25741280450881,Reference
R-N4R1,HK04,LOC_Os01g16970,6.70534747411373,Reference
R-N4R2,HK04,LOC_Os01g16970,6.60589964128641,Reference
R-N4R3,HK04,LOC_Os01g16970,7.69348027967112,Reference
J-N1R1,HK09,LOC_Os03g61680,9.89279364288018,Reference
J-N1R2,HK09,LOC_Os03g61680,8.59847948668512,Reference
J-N1R3,HK09,LOC_Os03g61680,8.22988657912334,Reference
J-N2R1,HK09,LOC_Os03g61680,9.54311629700389,Reference
J-N2R2,HK09,LOC_Os03g61680,8.79093510684823,Reference
J-N2R3,HK09,LOC_Os03g61680,8.65196287823042,Reference
J-N3R1,HK09,LOC_Os03g61680,8.98051019302687,Reference
J-N3R2,HK09,LOC_Os03g61680,8.83661971537567,Reference
J-N3R3,HK09,LOC_Os03g61680,8.83986327614937,Reference
J-N4R1,HK09,LOC_Os03g61680,8.46513318866469,Reference
J-N4R2,HK09,LOC_Os03g61680,9.11785454610733,Reference
J-N4R3,HK09,LOC_Os03g61680,7.8635858180455,Reference
G-N1R1,HK09,LOC_Os03g61680,8.86138516212857,Reference
G-N1R2,HK09,LOC_Os03g61680,8.94676516185095,Reference
G-N1R3,HK09,LOC_Os03g61680,8.12178996749073,Reference
G-N2R1,HK09,LOC_Os03g61680,8.27693934027965,Reference
G-N2R2,HK09,LOC_Os03g61680,8.0602529743699,Reference
G-N2R3,HK09,LOC_Os03g61680,7.79751903217645,Reference
G-N3R1,HK09,LOC_Os03g61680,8.85748407550769,Reference
G-N3R2,HK09,LOC_Os03g61680,8.22433551823625,Reference
G-N3R3,HK09,LOC_Os03g61680,8.12879751675989,Reference
G-N4R1,HK09,LOC_Os03g61680,8.25562912225145,Reference
G-N4R2,HK09,LOC_Os03g61680,9.12033080898381,Reference
G-N4R3,HK09,LOC_Os03g61680,9.08078362262436,Reference
B-N1R1,HK09,LOC_Os03g61680,9.39139952229604,Reference
B-N1R2,HK09,LOC_Os03g61680,9.81919408129017,Reference
B-N1R3,HK09,LOC_Os03g61680,8.5874676053125,Reference
B-N2R1,HK09,LOC_Os03g61680,9.31806418139709,Reference
B-N2R2,HK09,LOC_Os03g61680,8.85793015581237,Reference
B-N2R3,HK09,LOC_Os03g61680,7.91875965975247,Reference
B-N3R1,HK09,LOC_Os03g61680,8.39496499868644,Reference
B-N3R2,HK09,LOC_Os03g61680,8.11164579061483,Reference
B-N3R3,HK09,LOC_Os03g61680,7.75786750036537,Reference
B-N4R1,HK09,LOC_Os03g61680,8.18411466722866,Reference
B-N4R2,HK09,LOC_Os03g61680,8.37055883719792,Reference
B-N4R3,HK09,LOC_Os03g61680,8.18947158507312,Reference
I-N1R1,HK09,LOC_Os03g61680,10.2605319025473,Reference
I-N1R2,HK09,LOC_Os03g61680,8.55190545025218,Reference
I-N1R3,HK09,LOC_Os03g61680,8.72763509143101,Reference
I-N2R1,HK09,LOC_Os03g61680,8.96163676851118,Reference
I-N2R2,HK09,LOC_Os03g61680,8.82861340948355,Reference
I-N2R3,HK09,LOC_Os03g61680,8.71998218414543,Reference
I-N3R1,HK09,LOC_Os03g61680,7.7698740981148,Reference
I-N3R2,HK09,LOC_Os03g61680,9.75816745186562,Reference
I-N3R3,HK09,LOC_Os03g61680,10.1572169425851,Reference
I-N4R1,HK09,LOC_Os03g61680,8.28584250830228,Reference
I-N4R2,HK09,LOC_Os03g61680,8.35199472452616,Reference
I-N4R3,HK09,LOC_Os03g61680,9.78827391648957,Reference
R-N1R1,HK09,LOC_Os03g61680,8.61161966423134,Reference
R-N1R2,HK09,LOC_Os03g61680,7.9742937778909,Reference
R-N1R3,HK09,LOC_Os03g61680,8.06032018065279,Reference
R-N2R1,HK09,LOC_Os03g61680,8.39512271451034,Reference
R-N2R2,HK09,LOC_Os03g61680,9.05900777868245,Reference
R-N2R3,HK09,LOC_Os03g61680,9.06378846685455,Reference
R-N3R1,HK09,LOC_Os03g61680,8.55270636271785,Reference
R-N3R2,HK09,LOC_Os03g61680,8.19074163096149,Reference
R-N3R3,HK09,LOC_Os03g61680,9.48140375477881,Reference
R-N4R1,HK09,LOC_Os03g61680,8.05982828970302,Reference
R-N4R2,HK09,LOC_Os03g61680,7.87224409310155,Reference
R-N4R3,HK09,LOC_Os03g61680,8.95892203957672,Reference
J-N1R1,HKludo01,LOC_Os06g11170,12.6049768137275,Reference
J-N1R2,HKludo01,LOC_Os06g11170,11.5067053293966,Reference
J-N1R3,HKludo01,LOC_Os06g11170,11.405392057758,Reference
J-N2R1,HKludo01,LOC_Os06g11170,13.1236971024194,Reference
J-N2R2,HKludo01,LOC_Os06g11170,12.438056007092,Reference
J-N2R3,HKludo01,LOC_Os06g11170,12.4049011667436,Reference
J-N3R1,HKludo01,LOC_Os06g11170,12.0717193960709,Reference
J-N3R2,HKludo01,LOC_Os06g11170,11.6400466230678,Reference
J-N3R3,HKludo01,LOC_Os06g11170,11.8090686963605,Reference
J-N4R1,HKludo01,LOC_Os06g11170,11.30986143597,Reference
J-N4R2,HKludo01,LOC_Os06g11170,12.1715080715283,Reference
J-N4R3,HKludo01,LOC_Os06g11170,11.0022509034131,Reference
G-N1R1,HKludo01,LOC_Os06g11170,11.4530270074477,Reference
G-N1R2,HKludo01,LOC_Os06g11170,11.6024557536432,Reference
